model,cached_input,input,output
gpt-4.5-preview,37.50,75.00,150.00
gpt-4.5-preview-2025-02-27,37.50,75.00,150.00
gpt-4.1,0.50,2.00,8.00
gpt-4.1-mini,0.10,0.40,1.60
gpt-4.1-nano,0.025,0.10,0.40
gpt-4.1-2025-04-14,0.50,2.00,8.00
gpt-4.1-mini-2025-04-14,0.10,0.40,1.60
gpt-4.1-nano-2025-04-14,0.025,0.10,0.40
gpt-4o,1.25,2.50,10.00
gpt-4o-2024-11-20,1.25,2.50,10.00
gpt-4o-2024-08-06,1.25,2.50,10.00
gpt-4o-2024-05-13,,5.00,15.00
gpt-4o-mini,0.075,0.15,0.60
gpt-4o-mini-2024-07-18,0.075,0.15,0.60
o1,7.50,15.00,60.00
o1-2024-12-17,7.50,15.00,60.00
o1-preview-2024-09-12,7.50,15.00,60.00
o1-pro,,150.00,600.00
o1-pro-2025-03-19,,150.00,600.00
o3-mini,0.55,1.10,4.40
o3-mini-2025-01-31,0.55,1.10,4.40
o1-mini,0.55,1.10,4.40
o1-mini-2024-09-12,0.55,1.10,4.40
gpt-4o-mini-search-preview,,0.15,0.60
gpt-4o-mini-search-preview-2025-03-11,,0.15,0.60
gpt-4o-search-preview,,2.50,10.00
gpt-4o-search-preview-2025-03-11,,2.50,10.00
computer-use-preview,,3.00,12.00
computer-use-preview-2025-03-11,,3.00,12.00
